,deal_status,single_model,multi_model
1236,lost,0,1
1237,lost,2,0
1238,lost,0,3
1239,lost,0,1
1240,lost,0,3
1241,lost,3,0
1242,lost,1,1
1243,lost,0,1
1244,lost,0,1
1245,won,4,1
1246,lost,0,4
1247,lost,1,0
1248,lost,2,0
1249,lost,1,0
1250,lost,1,0
1251,lost,0,1
1252,lost,2,3
1253,lost,1,0
1254,lost,0,1
1255,won,0,47
1256,won,2,1
1257,lost,1,1
1258,won,0,2
1259,won,0,3
1260,lost,6,2
1261,lost,0,1
1262,lost,0,1
1263,lost,0,1
1264,won,5,1
1265,lost,2,0
1266,lost,0,1
1267,lost,7,8
1268,lost,1,0
1269,lost,1,0
1270,lost,1,0
1271,lost,2,1
1272,lost,0,1
1273,lost,1,0
1274,lost,3,0
1275,lost,3,1
1276,lost,0,1
1277,lost,0,2
1278,lost,0,1
1279,lost,1,0
1280,lost,0,3
1281,lost,3,0
1282,lost,0,2
1283,lost,0,1
1284,lost,0,1
1285,lost,2,0
1286,lost,4,0
1287,lost,1,0
1288,lost,0,3
1289,lost,0,1
1290,lost,0,1
1291,lost,1,2
1292,won,1,3
1293,won,2,1
1294,won,0,1
1295,lost,3,0
1296,lost,2,0
1297,lost,0,1
1298,lost,0,3
1299,lost,0,1
1300,won,0,5
1301,lost,0,1
1302,lost,0,1
1303,won,0,2
1304,lost,6,3
1305,lost,0,2
1306,lost,0,2
1307,lost,1,3
1308,won,0,1
1309,lost,2,1
1310,lost,0,1
1311,lost,1,0
1312,lost,1,1
1313,lost,1,0
1314,lost,1,0
1315,lost,1,0
1316,lost,1,0
1317,lost,0,2
1318,lost,4,1
1319,lost,0,1
1320,lost,1,0
1321,lost,2,0
1322,lost,0,1
1323,lost,0,1
1324,lost,1,0
1325,lost,3,0
1326,lost,1,0
1327,lost,0,1
1328,lost,1,0
1329,lost,0,1
1330,lost,2,2
1331,lost,1,1
1332,won,1,0
1333,won,21,0
1334,lost,1,0
1335,lost,1,0
1336,lost,0,4
1337,won,0,9
1338,lost,1,0
1339,lost,0,1
1340,won,2,0
1341,lost,1,0
1342,lost,4,0
1343,won,1,1
1344,won,0,2
1345,lost,0,2
1346,lost,0,2
1347,lost,0,2
1348,lost,0,2
1349,lost,2,0
1350,lost,1,0
1351,lost,0,2
1352,lost,0,1
1353,lost,1,0
1354,lost,0,1
1355,lost,1,0
1356,won,1,2
1357,lost,0,3
1358,won,0,1
1359,lost,0,1
1360,won,8,2
1361,lost,1,3
1362,lost,1,0
1363,lost,2,0
1364,won,0,1
1365,lost,1,0
1366,lost,0,1
1367,lost,0,1
1368,won,1,4
1369,lost,0,1
1370,lost,0,1
1371,won,0,1
1372,lost,4,1
1373,lost,0,1
1374,won,12,33
1375,lost,1,0
1376,lost,0,6
1377,lost,2,3
1378,lost,0,4
1379,lost,3,0
1380,won,2,1
1381,lost,0,1
1382,lost,1,0
1383,lost,0,1
1384,lost,15,2
1385,lost,0,1
1386,lost,1,2
1387,lost,1,0
1388,lost,1,0
1389,lost,0,1
1390,won,80,41
1391,won,0,1
1392,lost,1,0
1393,won,0,4
1394,lost,1,0
1395,lost,1,0
1396,lost,1,0
1397,lost,1,1
1398,lost,1,0
1399,lost,1,0
1400,lost,3,0
1401,lost,1,0
1402,lost,1,0
1403,lost,1,1
1404,won,0,1
1405,won,1,1
1406,won,26,3
1407,lost,0,2
1408,lost,0,1
1409,lost,3,1
1410,lost,2,0
1411,lost,1,0
1412,lost,1,0
1413,lost,1,0
1414,lost,0,1
1415,lost,0,1
1416,lost,1,0
1417,lost,1,0
1418,lost,0,1
1419,lost,1,2
1420,lost,0,1
1421,won,1,2
1422,won,0,1
1423,lost,3,1
1424,lost,1,1
1425,won,2,3
1426,lost,1,0
1427,won,0,1
1428,lost,0,1
1429,lost,1,0
1430,won,6,6
1431,lost,1,6
1432,won,2,0
1433,lost,1,2
1434,lost,3,0
1435,won,0,2
1436,won,2,1
1437,lost,0,1
1438,lost,1,0
1439,lost,1,0
1440,lost,0,1
1441,lost,0,1
1442,lost,2,1
1443,lost,1,0
1444,lost,1,0
1445,lost,0,1
1446,won,0,4
1447,lost,1,0
1448,lost,1,0
1449,won,6,2
1450,lost,0,1
1451,lost,0,1
1452,lost,1,0
1453,lost,0,1
1454,lost,0,1
1455,lost,2,1
1456,lost,0,1
1457,lost,0,1
1458,lost,0,5
1459,lost,2,0
1460,lost,0,1
1461,lost,1,0
1462,lost,12,11
1463,lost,1,0
1464,lost,1,0
1465,lost,0,2
1466,won,0,1
1467,lost,3,1
1468,lost,0,1
1469,lost,1,0
1470,lost,0,2
1471,lost,0,1
1472,lost,0,1
1473,lost,0,1
1474,lost,1,0
1475,lost,0,1
1476,lost,0,1
1477,lost,0,2
1478,lost,0,1
1479,lost,0,1
1480,lost,1,1
1481,lost,1,0
1482,lost,0,1
1483,lost,1,0
1484,won,0,1
1485,lost,2,0
1486,lost,0,1
1487,lost,4,1
1488,lost,0,2
1489,won,6,3
1490,lost,1,0
1491,lost,1,1
1492,won,6,5
1493,lost,0,1
1494,lost,4,1
1495,lost,1,0
1496,lost,1,0
1497,lost,0,1
1498,lost,0,1
1499,lost,1,2
1500,lost,2,0
1501,lost,0,1
1502,lost,2,0
1503,lost,1,0
1504,lost,3,0
1505,won,1,0
1506,won,5,10
1507,lost,0,1
1508,won,0,3
1509,lost,1,0
1510,won,0,4
1511,won,2,0
1512,won,0,2
1513,lost,0,1
1514,won,4,1
1515,lost,0,4
1516,lost,0,1
1517,won,0,1
1518,lost,0,2
1519,lost,1,0
1520,lost,2,0
1521,won,6,0
1522,lost,0,1
1523,lost,2,0
1524,lost,0,1
1525,lost,0,1
